name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.065871679137305,1.44
2_DecisionTree,Decision Tree,logloss,2.999998499923177e-06,19.31
3_Default_Xgboost,Xgboost,logloss,0.00015601454265060493,163.61
4_Default_NeuralNetwork,Neural Network,logloss,0.008717670569227301,9.53
5_Default_RandomForest,Random Forest,logloss,2.999998499923177e-06,12.7
Ensemble,Ensemble,logloss,2.999998499923177e-06,0.42
